State_Name,SL_No,District_Name,Sanction_Date,Reported_M_or_Y,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC,Sanction_Date,Reported_Month_Year,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,SancAmt_Total,SancAmt_Center_Share,ReleaseAmt_Instal_No,ReleaseAmt_Instal_Part,ReleaseAmt_Date,ReleaseAmt_General,ReleaseAmt_SC,ReleaseAmt_ST,ReleaseAmt_Total,HH_PER-BASE_TOTAL,HH_PER-BASE_SC,HH_PER-BASE_ST,BPL_WT,BPL_WOT,APL_WT,APL_WOT,APL+BPL_WT,APL+BPL_WOT,SCH_WT,SCH_WOT,ANGAN_WT,ANGAN_WOT,SAN_WT,SAN_WOT,Appr_BPL,Exp_BPL,Age_BPL,Appr_School,Exp_School,Age_School,Appr_Angan,Exp_Angan,Age_Angan,Appr_San,Exp_San,Age_San,BPL_Obj,APL_Obj,IHHL_Total,BPL_Total,BPL_Ach_IHHL_SC,BPL_Ach_IHHL_ST,BPL_Ach_IHHL_Genral,BPL_Ach_IHHL_PH,BPL_SC&ST_%,APL_Total,APL_Ach_SC,APL_Ach_ST,APL_Ach_SMF,APL_Ach_LL_WH,APL_Ach_PH,APL_Ach_WHH,IHHL_Total
ANDHRA PRADESH,1,ADILABAD,11/6/2001,2/1/2013,7845.08,5210.61,1918.19,716.28,3334.5,1026.28,632.57,4993.35,2385.43,1026.28,561.22,3972.93,7845.08,5210.61,1918.19,716.28,247475,148181,395656,0,4462,427,10,11/6/2001,2/1/2013,247475,148181,395656,0,4462,427,10,0,173930,52431,226361,0,4462,384,0,0,7845.08,5210.61,2,4,17-05-2012,680.66,301.6,134.12,1116.38,406468,77928,72158,13312,261726,4528,126578,17840,388304,324,1015,121,306,0,0,5592.07,2698.89,48.26,989,1229.1,100,30,13.5,45,0,0,0,247475,148181,395656,176300,26445,11519,138336,0,21.53,52431,0,0,0,0,0,0,228731
ANDHRA PRADESH,2,ANANTAPUR,11/6/2001,2/1/2013,6308.72,4059.29,1394.66,854.77,2213.51,1456.5,1331.82,5001.83,1242.57,1456.41,1325.3,4024.28,6308.72,4059.29,1394.66,854.77,363314,181335,544649,0,3421,284,10,11/6/2001,2/1/2013,363314,181335,544649,0,3421,284,10,0,366557,42000,408557,0,4258,302,0,0,,,,,,,,,,715128,68153,22310,274192,246023,101502,93411,375694,339434,2233,622,243,283,8,0,3838.47,3016.22,78.58,884.2,745.05,84.26,14.2,11.19,78.8,0,10.41,0,363314,181335,544649,366557,54984,18328,293245,0,20,42000,0,0,0,0,0,0,408557
ANDHRA PRADESH,3,CHITTOOR,28-03-2000,2/1/2013,7680.84,5036.09,1875.03,769.72,3909.82,1329.78,532.18,5771.78,2185.6,1130.92,532.18,3848.7,7680.84,5036.09,1875.03,769.72,296465,236986,533451,0,8171,375,10,28-03-2000,2/1/2013,296465,236986,533451,0,8171,375,10,0,264888,190905,455793,0,8171,375,11,0,7680.84,5036.09,3,2,17-05-2012,350.64,151.53,10.83,513,605121,156660,37265,190200,295716,73042,46163,263242,341879,2786,1899,308,361,0,0,4829.6,2398.58,49.66,1800.86,1333.29,74.04,18.76,18.76,100,0,0,0,296465,236986,533451,269750,42131,8152,219467,0,18.64,190905,0,0,0,0,0,0,460655
ANDHRA PRADESH,4,CUDDAPAH,2/5/2003,2/1/2013,6440.21,3924.41,1662.14,853.66,2763.6,1332.28,1357.02,5452.9,1682.6,1332,796.67,3811.27,6440.21,3924.41,1662.14,853.66,251653,251610,503263,0,6802,277,10,2/5/2003,2/1/2013,251653,251610,503263,0,6802,277,10,0,238556,125493,364049,0,5186,277,0,0,,,,,,,,,,467792,90250,18600,166663,251494,23065,26570,189728,278064,2913,1732,403,238,0,0,3835.4,2780.36,72.49,1659.96,672.04,40.49,14.76,3.6,24.39,0,0,0,251653,251610,503263,239780,35967,7193,196620,0,18,125493,0,0,0,0,0,0,365273
ANDHRA PRADESH,5,EAST GODAVARI,23-04-2002,2/1/2013,9690.38,6324.81,2329.86,1035.71,5302.66,1886.72,1081.32,8270.7,4133.34,1886.62,1063.13,7083.1,9690.38,6324.81,2329.86,1035.71,370255,191400,561655,50,7004,1164,10,23-04-2002,2/1/2013,370255,191400,561655,50,7004,1164,10,0,345502,191400,536902,49,7004,781,20,0,9690.38,6324.81,4,1,17-05-2012,223.12,89.4,8.61,321.13,1066661,215894,47999,219974,303755,393587,149345,613561,453100,1736,2117,771,931,6,42,6674.52,5024.4,75.28,1475.66,1481.44,100,81.16,21.48,26.47,100,88.2,88.2,370255,191400,561655,347305,88898,34192,218826,0,35.44,191400,44022,19140,0,0,0,0,538705
ANDHRA PRADESH,6,GUNTUR,23-04-2002,2/1/2013,12563.94,6298.09,3611.81,2654.04,3986.24,1783.72,698.21,6468.17,2638.27,1783.72,698.21,5120.21,12563.94,6298.09,3611.81,2654.04,370996,319053,690049,0,5346,215,10,23-04-2002,2/1/2013,370996,319053,690049,0,5346,215,10,0,269588,85950,355538,0,5079,215,37,0,12563.94,6298.09,3,2,17-05-2012,932.09,412.56,41.15,1385.8,782238,155032,39795,180184,367363,94379,140312,274563,507675,2508,1173,300,214,1,0,9644.83,3807.8,39.48,1332.16,983.83,73.85,13.19,9.93,75.28,0,0,0,370996,319053,690049,269608,36435,12604,220549,0,18.19,85950,0,0,0,0,0,0,355558
ANDHRA PRADESH,7,KARIMNAGAR,13-02-2003,2/1/2013,10849.48,7165.48,2612.85,1071.15,5602.87,1943.23,176.13,7722.23,5003.88,1939.23,176.13,7119.24,10849.48,7165.48,2612.85,1071.15,365267,219763,585030,0,5848,298,10,13-02-2003,2/1/2013,365267,219763,585030,0,5848,298,10,0,363550,63025,426575,0,5848,298,13,0,10849.48,7165.48,3,3,17-05-2012,489.36,196.34,11.19,696.89,689887,132072,24393,71358,311460,172056,135013,243414,446473,749,2314,285,271,0,0,7893.18,5804.58,73.54,1169.6,754.32,64.49,14.9,8.04,53.96,0,0,0,365267,219763,585030,369433,65535,14858,288995,7992,21.76,63025,0,0,0,0,0,0,432458
ANDHRA PRADESH,8,KHAMMAM,25-11-1999,2/1/2013,5033.95,3296.76,1226.56,510.63,2779.69,732.81,510.65,4023.15,2633.19,732.08,294.02,3659.29,5033.95,3296.76,1226.56,510.63,189225,4860,194085,0,6318,521,10,25-11-1999,2/1/2013,189225,4860,194085,0,6318,521,10,0,195763,4870,200633,0,6318,521,15,10,5033.95,3296.76,3,4,17-05-2012,90.8,36.96,26.51,154.27,554816,100518,161491,264529,183431,102794,4171,367323,187602,3112,39,787,428,1,0,2990.37,1799.79,60.19,1263.6,1257.6,99.53,31.94,44.28,100,0,0,0,189225,4860,194085,195763,62752,31642,101369,0,48.22,4870,0,0,0,0,0,0,200633
ANDHRA PRADESH,9,KRISHNA,13-02-2003,2/1/2013,9115.68,5977.79,2174.82,963.07,3883.94,777.11,283.63,4944.68,2444.76,769.49,277.92,3492.18,9115.68,5977.79,2174.82,963.07,351572,175991,527563,17,3374,62,10,13-02-2003,2/1/2013,351572,175991,527563,17,3374,62,10,0,317154,104197,421351,8,3374,171,40,0,9115.68,5977.79,2,4,17-05-2012,829.83,381.55,21.29,1232.67,751132,154600,25810,67505,351572,238669,93386,306174,444958,1525,3374,429,62,0,1,6879.66,2429.23,35.31,821.2,429.94,52.36,3.1,0.87,28.06,34,20,58.82,351572,175991,527563,318730,69729,15611,231610,0,26.78,104197,2000,600,0,0,0,0,422927
ANDHRA PRADESH,10,KURNOOL,23-04-2002,2/1/2013,10196.49,6720.35,2491.52,984.62,4237.66,1719.21,573.54,6530.42,1925.44,1718.37,463.12,4106.94,10196.49,6720.35,2491.52,984.62,383478,129956,513434,0,4669,2111,10,23-04-2002,2/1/2013,383478,129956,513434,0,4669,2111,10,0,312382,174773,487155,13,4669,235,49,0,10196.49,6720.35,3,1,17-05-2012,1080.28,393.71,17.74,1491.73,588903,118755,13540,113630,312183,35046,128044,148676,440227,1493,918,0,421,19,0,7470.95,2873.88,38.47,1131.5,966.9,85.45,162.8,9.67,5.94,0,0,0,383478,129956,513434,315648,43906,2105,151321,0,14.58,174773,0,0,0,0,0,0,490421
